,name,price,discount_price,total_sell,revenue,category,subcategory,sale_type
154,Combo 03 Quần lót Trunk Pima Cotton thấm hút tốt - thương hiệu Coolmate,299000,299000,28,8372000,pant,underwear,bundle
155,Quần lót nam New Trunk Cotton Compact co giãn - màu đen - thương hiệu Coolmate,99000,99000,724,71676000,pant,underwear,single
156,Áo thun Cotton Compact chống nhăn in Phở - Màu đen - Thương hiệu Coolmate,259000,259000,129,33411000,shirt,tshirt,single
157,Combo 3 khẩu trang trẻ em Coolmate công nghệ HeiQ Viroblock - màu đen,89000,89000,54,4806000,other,none,bundle
158,Áo Polo thể thao nam dáng ProMax-S1 xanh da trời thoáng khí Logo Coolmate,239000,239000,1100,262900000,shirt,polo,single
159,CoolActive Box - Đồ bộ thể thao nam vận động thoải mái XANH BÓNG ĐÊM - thương hiệu Coolmate,428000,428000,80,34240000,other,none,single
160,Áo thun Marvel Thanos Quote - thương hiệu Coolmate,299000,299000,76,22724000,shirt,tshirt,single
161,"Quần short thể thao nam Movement 5"" thoải mái vận động - thương hiệu Coolmate",199000,199000,90,17910000,pant,short,single
162,"Áo thun Cotton Compact in "" The Walking Dad"" - Màu đen - thương hiệu Coolmate",259000,259000,112,29008000,shirt,tshirt,single
163,Áo thun Cotton Compact chống nhăn in Trà đá vỉa hè - Màu đen- Thương hiệu Coolmate,259000,259000,94,24346000,shirt,tshirt,single
164,"Áo thun Cotton Compact chống nhăn in ""It's okay to not be okay""  - thương hiệu Coolmate",259000,259000,100,25900000,shirt,tshirt,single
165,"Áo thun Cotton Compact in ""Hôm nào cà phê nhé!"" - Màu đen - thương hiệu Coolmate",259000,259000,83,21497000,shirt,tshirt,single
166,Combo 2 Áo polo nam thể thao Promax-S1 thoáng khí - thương hiệu Coolmate,478000,478000,35,16730000,shirt,polo,bundle
167,Combo 3 Quần lót Trunk nam khử mùi Anti-Smell thương hiệu Coolmate,299000,299000,67,20033000,pant,underwear,bundle
168,"Áo thun Marvel Captain ""I choose honor"" - thương hiệu Coolmate",299000,299000,14,4186000,shirt,tshirt,single
169,Áo thun Marvel thêu Basics - thương hiệu Coolmate,299000,299000,21,6279000,shirt,tshirt,single
170,Áo thun in Choose Love CLEAN VIETNAM - thương hiệu Coolmate,299000,299000,40,11960000,shirt,tshirt,single
171,"Áo thun nam Cotton Compact in ""Ps. I love you"" màu đen thương hiệu Coolmate",259000,259000,130,33670000,shirt,tshirt,single
172,Recycle Box 2 - Hướng đến sự bền vững - thương hiệu Coolmate,518000,518000,11,5698000,other,none,single
173,Combo 3 đôi tất phối xanh thoáng khí khử mùi - thương hiệu Coolmate,109000,109000,27,2943000,sock,none,bundle
174,Áo thun Marvel Loki Quote -  thương hiệu Coolmate,299000,299000,43,12857000,shirt,tshirt,single
175,"Quần short nam thể thao Movement 7"" co giãn nhanh khô - Thương hiệu Coolmate",239000,239000,65,15535000,pant,short,single
176,Proudly | Quần short nam Promax-S1 thoáng khí màu đen - thương hiệu Coolmate,219000,219000,9,1971000,pant,short,single
177,CoolActive Box - Đồ bộ thể thao nam vận động thoải mái - màu TRẮNG-ĐEN thương hiệu Coolmate,428000,428000,29,12412000,other,none,single
178,"Proudly | Áo thun Cotton Compact ""See me: Weaving"" in nét - thương hiệu Coolmate",269000,269000,8,2152000,shirt,tshirt,single
179,Áo thun Marvel Graphics Earth's Mightiest Heroes - thương hiệu Coolmate,299000,299000,36,10764000,shirt,tshirt,single
180,Proudly | Mũ/Nón lưới trai Baseball Cap đứng form - thương hiệu Coolmate,169000,169000,7,1183000,hat,none,single
181,Áo thun OVERSIZE in Save The Future CLEAN VIETNAM - màu Đen - thương hiệu Coolmate,329000,329000,18,5922000,shirt,tshirt,single
